epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0434,1.4955,1.80589,1.64854,0.72388,0.66874,0.71519,0.41054,1.40199,2.06485,1.49468,0.000551781,0.000551781,0.000551781
2,38.784,1.46731,1.30581,1.58675,0.49736,0.63553,0.66322,0.29827,1.7409,1.9054,1.74758,0.0010709,0.0010709,0.0010709
3,57.9653,1.46452,1.2363,1.57171,0.67697,0.66331,0.72881,0.39415,1.67192,1.70842,1.69743,0.00155335,0.00155335,0.00155335
4,75.6068,1.44305,1.18565,1.57018,0.71338,0.71365,0.77845,0.46835,1.45419,1.55984,1.50596,0.00150197,0.00150197,0.00150197
5,94.8058,1.40025,1.09982,1.53309,0.84068,0.78835,0.86247,0.48324,1.59039,1.19905,1.56473,0.00144696,0.00144696,0.00144696
6,112.376,1.34865,1.00996,1.5089,0.86817,0.85772,0.91044,0.51836,1.67086,0.93533,1.53141,0.00139195,0.00139195,0.00139195
7,129.613,1.3324,0.99279,1.49042,0.91424,0.88278,0.925,0.57234,1.47393,0.75832,1.42132,0.00133693,0.00133693,0.00133693
8,148.632,1.26934,0.92354,1.45072,0.83594,0.92224,0.90789,0.58962,1.25518,0.76442,1.31959,0.00128192,0.00128192,0.00128192
9,166.513,1.25626,0.89866,1.43907,0.87367,0.77819,0.84673,0.53428,1.38252,0.83396,1.40901,0.00122691,0.00122691,0.00122691
10,188.582,1.23611,0.85869,1.43713,0.95444,0.94189,0.96452,0.56099,1.58077,0.70916,1.44439,0.0011719,0.0011719,0.0011719
11,205.736,1.22654,0.85618,1.42782,0.91715,0.94268,0.95982,0.66649,1.34468,0.65848,1.30646,0.00111689,0.00111689,0.00111689
12,222.661,1.19662,0.83943,1.40552,0.91797,0.89964,0.94666,0.65157,1.33478,0.72231,1.28908,0.00106188,0.00106188,0.00106188
13,241.285,1.15452,0.79977,1.36974,0.92176,0.87425,0.94126,0.65593,1.25208,0.61024,1.29796,0.00100687,0.00100687,0.00100687
14,258.359,1.16479,0.77733,1.37306,0.94512,0.93164,0.97042,0.69171,1.18992,0.61118,1.22274,0.000951857,0.000951857,0.000951857
15,277.22,1.12645,0.75645,1.35976,0.94405,0.95143,0.96632,0.62841,1.37941,0.68563,1.33358,0.000896846,0.000896846,0.000896846
16,294.373,1.11934,0.74795,1.35982,0.91966,0.94748,0.96074,0.69825,1.17955,0.63193,1.23422,0.000841835,0.000841835,0.000841835
17,313.176,1.11197,0.74266,1.35246,0.96212,0.97634,0.98164,0.71192,1.18594,0.57187,1.22389,0.000786824,0.000786824,0.000786824
18,330.307,1.10304,0.7226,1.34825,0.9598,0.97025,0.97815,0.73261,1.04838,0.52625,1.16256,0.000731813,0.000731813,0.000731813
19,347.587,1.08841,0.71103,1.33048,0.94712,0.97381,0.98156,0.68498,1.16197,0.53898,1.21855,0.000676802,0.000676802,0.000676802
20,366.812,1.07644,0.68636,1.32106,0.96484,0.97277,0.97994,0.71487,1.21088,0.51432,1.20495,0.000621791,0.000621791,0.000621791
21,384.468,0.90537,0.47822,1.25284,0.96339,0.97249,0.98175,0.71703,1.15701,0.54571,1.19556,0.00056678,0.00056678,0.00056678
22,402.69,0.88838,0.45756,1.24512,0.93531,0.95967,0.97729,0.74036,1.05341,0.53643,1.18957,0.000511769,0.000511769,0.000511769
23,418.8,0.85524,0.43836,1.22805,0.97451,0.98502,0.98511,0.75422,1.03841,0.47062,1.13907,0.000456758,0.000456758,0.000456758
24,435.255,0.84752,0.42853,1.20316,0.95999,0.98248,0.98334,0.72895,1.1488,0.49979,1.17024,0.000401747,0.000401747,0.000401747
25,453.073,0.86013,0.41725,1.20786,0.97683,0.99022,0.98638,0.74454,1.02808,0.47389,1.14322,0.000346736,0.000346736,0.000346736
26,469.436,0.82507,0.41197,1.18729,0.96608,0.985,0.98342,0.76529,0.98328,0.46543,1.12692,0.000291725,0.000291725,0.000291725
27,487.484,0.8243,0.39514,1.18661,0.97294,0.98382,0.9842,0.75577,1.03829,0.46032,1.15069,0.000236714,0.000236714,0.000236714
28,503.618,0.81423,0.39066,1.1793,0.97859,0.98487,0.98551,0.77819,0.96619,0.4478,1.11478,0.000181703,0.000181703,0.000181703
29,521.711,0.79855,0.38882,1.17075,0.9767,0.9777,0.98673,0.77279,0.99114,0.43775,1.10855,0.000126692,0.000126692,0.000126692
30,538.434,0.78808,0.37379,1.16565,0.97545,0.99127,0.98643,0.77643,0.988,0.43007,1.11172,7.1681e-05,7.1681e-05,7.1681e-05
